transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn,product,product_category
7,2019-04-01,12:04:43,3,12,558,N,1,1,52,1,2.5,2.5,N,Traditional Blend Chai Rg,Tea
11,2019-04-01,15:54:39,3,17,781,N,1,1,27,2,7.0,3.5,N,Brazilian Lg,Coffee
19,2019-04-01,14:34:59,3,17,788,Y,1,1,46,2,5.0,2.5,N,Serenity Green Tea Rg,Tea
32,2019-04-01,16:06:04,3,12,683,N,1,1,23,2,5.0,2.5,N,Our Old Time Diner Blend Rg,Coffee
33,2019-04-01,19:18:37,3,17,99,Y,1,1,34,1,2.45,2.45,N,Jamaican Coffee River Sm,Coffee
39,2019-04-01,18:54:46,3,17,664,Y,1,1,32,1,3.0,3.0,N,Ethiopia Rg,Coffee
50,2019-04-01,13:03:49,3,12,316,N,1,1,49,2,6.0,3.0,N,English Breakfast Lg,Tea
53,2019-04-01,11:21:14,3,12,38,N,1,1,60,1,3.75,3.75,N,Sustainably Grown Organic Rg,Drinking Chocolate
59,2019-04-01,19:30:55,3,12,370,Y,1,1,51,2,6.0,3.0,N,Earl Grey Lg,Tea
62,2019-04-01,12:01:00,3,12,180,Y,1,1,49,2,6.0,3.0,N,English Breakfast Lg,Tea
81,2019-04-01,13:20:51,3,12,35,Y,1,1,35,2,6.2,3.1,N,Jamaican Coffee River Rg,Coffee
90,2019-04-01,11:40:20,3,17,595,N,1,1,47,1,3.0,3.0,N,Serenity Green Tea Lg,Tea
91,2019-04-01,12:27:43,3,12,500,N,1,1,25,2,4.4,2.2,N,Brazilian Sm,Coffee
94,2019-04-01,17:37:02,3,17,128,Y,1,1,23,2,5.0,2.5,N,Our Old Time Diner Blend Rg,Coffee
101,2019-04-01,12:26:34,3,17,599,Y,1,1,48,2,5.0,2.5,N,English Breakfast Rg,Tea
103,2019-04-01,14:33:32,3,17,152,Y,1,1,53,2,6.0,3.0,N,Traditional Blend Chai Lg,Tea
108,2019-04-01,16:11:18,3,17,65,N,1,1,40,1,3.75,3.75,N,Cappuccino,Coffee
112,2019-04-01,13:03:38,3,12,90,Y,1,1,37,2,6.0,3.0,N,Espresso shot,Coffee
117,2019-04-01,18:25:04,3,12,82,Y,1,1,60,1,3.75,3.75,N,Sustainably Grown Organic Rg,Drinking Chocolate
120,2019-04-01,15:51:44,3,12,174,N,1,1,53,2,6.0,3.0,N,Traditional Blend Chai Lg,Tea
127,2019-04-01,13:58:40,3,12,116,N,1,1,41,2,8.5,4.25,N,Cappuccino Lg,Coffee
134,2019-04-01,11:49:29,3,17,189,Y,1,1,38,2,7.5,3.75,N,Latte,Coffee
135,2019-04-01,17:01:36,3,17,131,Y,1,1,40,1,3.75,3.75,N,Cappuccino,Coffee
137,2019-04-01,11:10:04,3,17,264,Y,1,1,40,1,3.75,3.75,N,Cappuccino,Coffee
138,2019-04-01,13:17:42,3,17,722,Y,1,1,38,1,3.75,3.75,N,Latte,Coffee
141,2019-04-01,14:07:25,3,17,302,Y,1,1,50,1,2.5,2.5,N,Earl Grey Rg,Tea
143,2019-04-01,13:17:00,3,12,174,Y,1,1,59,2,9.0,4.5,N,Dark chocolate Lg,Drinking Chocolate
150,2019-04-01,12:24:53,3,17,604,Y,1,1,28,1,2.0,2.0,N,Columbian Medium Roast Sm,Coffee
156,2019-04-01,12:30:00,3,17,32,N,1,1,34,1,2.45,2.45,N,Jamaican Coffee River Sm,Coffee
156,2019-04-01,12:30:00,3,17,32,N,1,5,77,1,3.0,3.0,N,Oatmeal Scone,Bakery
162,2019-04-01,19:07:40,3,17,470,N,1,1,55,1,4.0,4.0,N,Morning Sunrise Chai Lg,Tea
165,2019-04-01,16:44:46,3,12,127,Y,1,1,54,2,5.0,2.5,N,Morning Sunrise Chai Rg,Tea
175,2019-04-01,19:54:12,3,17,553,Y,1,1,47,1,3.0,3.0,N,Serenity Green Tea Lg,Tea
180,2019-04-01,17:52:36,3,17,518,Y,1,1,45,2,6.0,3.0,N,Peppermint Lg,Tea
199,2019-04-01,14:24:55,3,12,112,Y,1,1,41,2,8.5,4.25,N,Cappuccino Lg,Coffee
199,2019-04-01,14:24:55,3,12,112,Y,1,5,79,1,3.75,3.75,N,Jumbo Savory Scone,Bakery
202,2019-04-01,17:26:58,3,17,437,N,1,1,37,2,6.0,3.0,N,Espresso shot,Coffee
212,2019-04-01,17:03:21,3,17,552,N,1,1,50,1,2.5,2.5,N,Earl Grey Rg,Tea
219,2019-04-01,15:03:55,3,12,194,Y,1,1,43,1,3.0,3.0,N,Lemon Grass Lg,Tea
224,2019-04-01,14:54:27,3,17,788,N,1,1,38,2,7.5,3.75,N,Latte,Coffee
226,2019-04-01,16:30:12,3,12,533,Y,1,1,40,1,3.75,3.75,N,Cappuccino,Coffee
227,2019-04-01,12:09:11,3,17,521,N,1,1,28,2,4.0,2.0,N,Columbian Medium Roast Sm,Coffee
238,2019-04-01,15:48:10,3,17,512,Y,1,1,41,1,4.25,4.25,N,Cappuccino Lg,Coffee
247,2019-04-01,19:04:32,3,17,178,Y,1,1,23,1,2.5,2.5,N,Our Old Time Diner Blend Rg,Coffee
248,2019-04-01,14:30:49,3,12,416,Y,1,1,32,2,6.0,3.0,N,Ethiopia Rg,Coffee
249,2019-04-01,11:15:38,3,12,22,Y,1,1,52,1,2.5,2.5,N,Traditional Blend Chai Rg,Tea
260,2019-04-01,18:14:31,3,12,642,Y,1,1,61,2,9.5,4.75,N,Sustainably Grown Organic Lg,Drinking Chocolate
262,2019-04-01,11:52:08,3,12,189,N,1,1,58,1,3.5,3.5,N,Dark chocolate Rg,Drinking Chocolate
268,2019-04-01,16:04:10,3,17,223,N,1,1,42,2,5.0,2.5,N,Lemon Grass Rg,Tea
269,2019-04-01,19:25:00,3,12,40,Y,1,1,53,1,3.0,3.0,N,Traditional Blend Chai Lg,Tea
270,2019-04-01,11:27:00,3,17,344,N,1,1,49,1,3.0,3.0,N,English Breakfast Lg,Tea
276,2019-04-01,16:10:37,3,12,401,N,1,1,42,2,5.0,2.5,N,Lemon Grass Rg,Tea
281,2019-04-01,11:27:06,3,12,189,N,1,1,31,2,4.4,2.2,N,Ethiopia Sm,Coffee
290,2019-04-01,14:58:35,3,12,517,N,1,1,43,1,3.0,3.0,N,Lemon Grass Lg,Tea
296,2019-04-01,14:49:18,3,17,328,Y,1,1,39,1,4.25,4.25,N,Latte Rg,Coffee
296,2019-04-01,14:49:18,3,17,328,Y,1,5,79,1,3.75,3.75,N,Jumbo Savory Scone,Bakery
297,2019-04-01,12:05:26,3,12,331,N,1,1,48,2,5.0,2.5,N,English Breakfast Rg,Tea
298,2019-04-01,18:30:05,3,17,414,N,1,1,55,2,8.0,4.0,N,Morning Sunrise Chai Lg,Tea
317,2019-04-01,19:57:08,3,12,567,N,1,1,48,1,2.5,2.5,N,English Breakfast Rg,Tea
325,2019-04-01,19:23:13,3,12,526,N,1,1,22,2,4.0,2.0,N,Our Old Time Diner Blend Sm,Coffee
326,2019-04-01,12:05:31,3,12,659,N,1,1,52,2,5.0,2.5,N,Traditional Blend Chai Rg,Tea
334,2019-04-01,18:12:37,3,17,492,N,1,1,25,2,4.4,2.2,N,Brazilian Sm,Coffee
337,2019-04-01,18:14:17,3,17,655,Y,1,1,39,2,8.5,4.25,N,Latte Rg,Coffee
344,2019-04-01,17:28:16,3,12,500,Y,1,1,41,1,4.25,4.25,N,Cappuccino Lg,Coffee
357,2019-04-01,15:34:10,3,12,530,N,1,1,41,2,8.5,4.25,N,Cappuccino Lg,Coffee
357,2019-04-01,15:34:10,3,12,530,N,1,5,76,1,3.5,3.5,N,Chocolate Chip Biscotti,Bakery
360,2019-04-01,15:30:57,3,17,114,Y,1,1,38,2,7.5,3.75,N,Latte,Coffee
366,2019-04-01,18:33:47,3,17,301,N,1,1,51,1,3.0,3.0,N,Earl Grey Lg,Tea
384,2019-04-01,16:04:18,3,17,602,Y,1,1,54,2,5.0,2.5,N,Morning Sunrise Chai Rg,Tea
385,2019-04-01,11:32:46,3,12,565,Y,1,1,31,2,4.4,2.2,N,Ethiopia Sm,Coffee
389,2019-04-01,17:00:27,3,12,335,Y,1,1,29,1,2.5,2.5,N,Columbian Medium Roast Rg,Coffee
390,2019-04-01,12:20:37,3,12,52,Y,1,1,25,1,2.2,2.2,N,Brazilian Sm,Coffee
391,2019-04-01,18:05:52,3,12,216,N,1,1,33,2,7.0,3.5,N,Ethiopia Lg,Coffee
391,2019-04-01,18:05:52,3,12,216,N,1,5,79,1,3.75,3.75,N,Jumbo Savory Scone,Bakery
396,2019-04-01,14:45:31,3,17,550,Y,1,1,47,1,3.0,3.0,N,Serenity Green Tea Lg,Tea
405,2019-04-01,19:31:31,3,17,481,N,1,1,26,2,6.0,3.0,N,Brazilian Rg,Coffee
411,2019-04-01,12:23:27,3,12,516,N,1,1,22,2,4.0,2.0,N,Our Old Time Diner Blend Sm,Coffee
413,2019-04-01,16:03:50,3,17,508,N,1,1,31,1,2.2,2.2,N,Ethiopia Sm,Coffee
413,2019-04-01,16:03:50,3,17,508,N,1,5,76,1,3.5,3.5,N,Chocolate Chip Biscotti,Bakery
421,2019-04-01,19:52:28,3,17,717,N,1,1,34,2,4.9,2.45,N,Jamaican Coffee River Sm,Coffee
422,2019-04-01,14:14:08,3,17,641,Y,1,1,26,1,3.0,3.0,N,Brazilian Rg,Coffee
426,2019-04-01,15:45:16,3,17,525,N,1,1,46,2,5.0,2.5,N,Serenity Green Tea Rg,Tea
427,2019-04-01,19:03:00,3,12,384,Y,1,1,22,1,2.0,2.0,N,Our Old Time Diner Blend Sm,Coffee
429,2019-04-01,12:56:59,3,17,784,Y,1,1,47,1,3.0,3.0,N,Serenity Green Tea Lg,Tea
434,2019-04-01,17:26:52,3,12,383,N,1,1,26,2,6.0,3.0,N,Brazilian Rg,Coffee
446,2019-04-01,12:15:02,3,12,659,Y,1,1,50,2,5.0,2.5,N,Earl Grey Rg,Tea
447,2019-04-01,14:51:44,3,17,235,Y,1,1,30,1,3.0,3.0,N,Columbian Medium Roast Lg,Coffee
451,2019-04-01,12:55:25,3,12,319,Y,1,1,49,1,3.0,3.0,N,English Breakfast Lg,Tea
457,2019-04-01,16:17:06,3,12,647,N,1,1,34,2,4.9,2.45,N,Jamaican Coffee River Sm,Coffee
459,2019-04-01,18:09:04,3,17,320,Y,1,1,35,1,3.1,3.1,N,Jamaican Coffee River Rg,Coffee
461,2019-04-01,17:54:11,3,17,326,Y,1,1,56,2,5.1,2.55,N,Spicy Eye Opener Chai Rg,Tea
470,2019-04-01,18:38:00,3,12,122,Y,1,1,41,1,4.25,4.25,N,Cappuccino Lg,Coffee
474,2019-04-01,18:13:09,3,12,453,Y,1,1,59,1,4.5,4.5,N,Dark chocolate Lg,Drinking Chocolate
480,2019-04-01,16:37:34,3,17,185,N,1,1,26,2,6.0,3.0,N,Brazilian Rg,Coffee
483,2019-04-01,19:15:15,3,12,393,N,1,1,55,1,4.0,4.0,N,Morning Sunrise Chai Lg,Tea
490,2019-04-01,16:24:40,3,12,392,Y,1,1,47,2,6.0,3.0,N,Serenity Green Tea Lg,Tea
